corpus: preloaded/ententen20_tt31_1
subcorpus: English Wikipedia
size: 1082464
query: Query:[lempos_lc="(create)-v"], GDEX:1000
Reference,Sentence
wikipedia.org | <s> It was created in 1954, combining four smaller districts. </s> 
wikipedia.org | <s> The United Kingdom has around 100 Yugos still in existence and an owners club has been created . </s> 
wikipedia.org | <s> The members of the corporation elect governors, who in turn create the organization's policies. </s> 
wikipedia.org | <s> The house was created circa 1600 by John Sedley, an architect to Henry VII. </s> 
wikipedia.org | <s> Sheriff of Berkshire, 1619-1620, and created baronet, 20 May 1620. </s> 
wikipedia.org | <s> By the end of the scheme, 245 out of the planned 250 Greens were created . </s> 
wikipedia.org | <s> Creating a program to find a knight's tour is a common problem given to computer science students. </s> 
wikipedia.org | <s> Melvyn Grant, a long-time contributor to the band's artwork, created the cover art. </s> 
wikipedia.org | <s> It offers a wide range of web hosting solutions for online businesses and webmasters to create websites. </s> 
wikipedia.org | <s> Fédon appears to have managed to create a fledgeling bureaucracy during this period of relative calm. </s> 
wikipedia.org | <s> Platte County was created from, and reverted to, Weld County, Colorado. </s> 
wikipedia.org | <s> The first national gastrointestinal society was created in Germany in 1920 by Ismar Isidor Boas. </s> 
wikipedia.org | <s> It was created on 5 December 1868 for Francis Knox-Gore, Lord Lieutenant of Sligo. </s> 
wikipedia.org | <s> In 2016, a large pedestrian bridge he helped create in Wernigerode was renamed in his honor. </s> 
wikipedia.org | <s> Evans County, Georgia, created on November 3, 1914, is named after Evans. </s> 
wikipedia.org | <s> May be used in conjunction with Triethylborane to create triethylaluminum-triethylborane, better known as TEA-TEB. </s> 
wikipedia.org | <s> A testamentary trust is created by a will and arises after the death of the settlor. </s> 
wikipedia.org | <s> Rather than allowing Hantz Farms to purchase the land, many opponents proposed creating a community trust. </s> 
wikipedia.org | <s> Template system- New projects can be created from sample templates, to avoid repetitive data input. </s> 
wikipedia.org | <s> The Cumberland Company dammed nearby Cumberland Creek to create a permanent water supply for the township. </s> 
wikipedia.org | <s> For African American escaped slaves, the military occupation of Alexandria created opportunity on an unprecedented scale. </s> 
wikipedia.org | <s> In oxygenic photosynthesis, the first electron donor is water, creating oxygen as a waste product. </s> 
wikipedia.org | <s> Saint Michael's has 155 full-time faculty members; creating a 12:1 student to faculty ratio on campus. </s> 
wikipedia.org | <s> In 1785, parts of Lincoln County were divided off to create Mercer and Madison Counties. </s> 
wikipedia.org | <s> Part 1 of a 4-part recording of H.M.S. Pinafore created by Edison Records in 1911. </s> 
wikipedia.org | <s> The series was created by Stéphane Giusti, Alain Robillard and Alain Tasma. </s> 
wikipedia.org | <s> Teachers can encourage critical thinking in a group setting by creating plans that include the students participating collectively. </s> 
wikipedia.org | <s> The greater part of the rest of the décor was newly created in 1986 by Josef Henger. </s> 
wikipedia.org | <s> However, in 1870 the estate of Młodzieszyn was divided and a village of Trojanów was created . </s> 
wikipedia.org | <s> Also created in 1908 was Route 15, which initially began in Hornell and ended in Caledonia. </s> 
wikipedia.org | <s> He helped create the Ontario Educational Communications Authority serving as its first chairman from 1970 to 1979. </s> 
wikipedia.org | <s> MacWrite's inclusion with early Macintosh computers discouraged developers from creating other word processing software for the computer. </s> 
wikipedia.org | <s> Though the constitution created a Supreme Court, it vested it with no judges and little power. </s> 
wikipedia.org | <s> The artwork was created by long-time collaborators Blacklake, which features a Rorschach test ink-blot design. </s> 
wikipedia.org | <s> FA was originally created by Caspar Milan Nielsen, Christian Øelund, and Brian Fuller. </s> 
wikipedia.org | <s> Bolo is a video game initially created for the BBC Micro computer by Stuart Cheshire in 1987. </s> 
wikipedia.org | <s> The Golf Channel soon created a celebrity edition of the show, this one to benefit charities. </s> 
wikipedia.org | <s> A spotlight is any lighting instrument used in theater to create a pool of light on the stage. </s> 
wikipedia.org | <s> In the library, Zero has created a spinning Christmas tree of books, wrapped in garlands. </s> 
wikipedia.org | <s> Oscar winners Michel Legrand with Alan and Marilyn Bergman created an original song for the feature. </s> 
wikipedia.org | <s> Grow an inclusive Boy Scouts of America by increasing membership and creating new inclusive Scouting units. </s> 
wikipedia.org | <s> Tat Kun Tao is created by Joe Go, one of Venancio Bacon's earliest students. </s> 
wikipedia.org | <s> At the daughter Chapel Royal at Hampton Court Palace, a permanent chorus was created in 1868. </s> 
wikipedia.org | <s> The OCC was created in May 1994 by Glenda Crawford assuming the position as founder and director. </s> 
wikipedia.org | <s> Larger member states will generally contribute their own Battlegroups, while smaller members are expected to create common groups. </s> 
wikipedia.org | <s> March 20, 2006 - Amagi, Asakura and Haki were merged to create Asakura City. </s> 
wikipedia.org | <s> The Chulabhorn Dam creates an artificial lake on the Nam Phrom River, covering about 12 km2. </s> 
wikipedia.org | <s> Volleyball was created in Holyoke, Massachusetts, a city directly north of Springfield, in 1895. </s> 
wikipedia.org | <s> Tetris is a falling-blocks puzzle video game, created by Soviet game designer Alexey Pajitnov in 1984. </s> 
wikipedia.org | <s> Hobrecht-Plan of Berlin, another large-scale urban planning approach conducted by James Hobrecht, created in 1853. </s> 
wikipedia.org | <s> In 1980, Lafontaine started using video in her sculptures and has created installations and environments utilizing video. </s> 
wikipedia.org | <s> West Papua was legally created as a province in 1999, but it was not inaugurated until 2003. </s> 
wikipedia.org | <s> An administrator can create tiers of storage by grouping disks based on performance, locality or reliability characteristics. </s> 
wikipedia.org | <s> Atmospheric gases scatter blue light more than other wavelengths, creating a blue halo when seen from space. </s> 
wikipedia.org | <s> The highly toxic oil later washed up on nearby beaches, creating a slick 15–20 cm thick. </s> 
wikipedia.org | <s> The discs spread apart to create friction against the inner drum surface through the action of standard wheel cylinders. </s> 
wikipedia.org | <s> In 2011, Wahl created a 10,000 square-foot Mona Lisa in a desert near Los Angeles. </s> 
wikipedia.org | <s> By adulthood he desired to create a cooperative in the United States that would incorporate socialist values. </s> 
wikipedia.org | <s> The CCRTA was created under the provisions of Chapter 161B of the Massachusetts General Laws in 1976. </s> 
wikipedia.org | <s> A FAQ was created in November for people questioning Jelly Bean on their HTC Device. </s> 
wikipedia.org | <s> The smooth figures of the foreground contrast strongly with the roughly-hewn background, created with a subbia chisel. </s> 
wikipedia.org | <s> Like many Archie characters, Reggie has a number of relatives who are created for one story only. </s> 
wikipedia.org | <s> Like the Upper Rhine, the Lower Rhine used to meander until engineering created a solid river bed. </s> 
wikipedia.org | <s> Nixon strove to create a soap opera that was topical and could illustrate social issues for the audience. </s> 
wikipedia.org | <s> They nest near the base of emergent vegetation in areas with vegetation creating a canopy above the nest. </s> 
wikipedia.org | <s> Partners can create their own maps in VDEX format and use these to help students search the repository. </s> 
wikipedia.org | <s> The plurality elections also created a strong incentive for consolidation in two large parties rather than multiple small parties. </s> 
wikipedia.org | <s> The technology created for that film is the direct precursor of the technology used worldwide in 3D filmmaking today. </s> 
wikipedia.org | <s> Wilson was a pioneer in Las Vegas youth soccer and was responsible for creating Nevada's first girls soccer league. </s> 
wikipedia.org | <s> Final images of the Voyager program acquired by Voyager 1 to create the Solar System Family Portrait. </s> 
wikipedia.org | <s> Gervais (1853) assigned this species to its own genus, creating the new combination Pristichampsus rollianti. </s> 
wikipedia.org | <s> It was created by Professor X and Magneto, and was later enhanced by Dr. Hank McCoy. </s> 
wikipedia.org | <s> It was created by the Local Government Act 1894 based on the Cheadle and Gatley urban sanitary district. </s> 
wikipedia.org | <s> To create nuanced characters, the team utilized motion capture so that actors could convey more-complicated emotions on-screen. </s> 
wikipedia.org | <s> As was customary for retiring Lord Provost's, he was created a baronet by Queen Victoria in 1900. </s> 
wikipedia.org | <s> The triple-gabled Jacobean gateway was created by Paul's son, Sir Richard Tracy, in 1630. </s> 
wikipedia.org | <s> Finally, the acceptance of various nuclei was achieved to discuss the possibility of creating a new political organization. </s> 
wikipedia.org | <s> Champeny was the author of the Bamboo Plan to create a police reserve or constabulary of 25,000 men. </s> 
wikipedia.org | <s> The county was created in 1792 and named by John Graves Simcoe in honour of the English County. </s> 
wikipedia.org | <s> He also led the National Assembly of Gjirokastër that took the decision to create an autonomous Albanian state. </s> 
wikipedia.org | <s> The show puts well-known Swedish musicians up against each other to create new interpretations of the other artists songs. </s> 
wikipedia.org | <s> The Svityaz LV is being created on the basis of units, aggregates and systems of Zenit LV. </s> 
wikipedia.org | <s> The organization was created by Ammaletu the Akkadian after he witnessed the warrior Gilgamesh coming back to life. </s> 
wikipedia.org | <s> On February 28, 2018, Deadline reported that The CW is creating a Skinny Dip television series. </s> 
wikipedia.org | <s> Her death creates a strain in the relationship between Bridget, her father, and her twin brother Perry. </s> 
wikipedia.org | <s> Chris Green's move to the management team at the newly created Network SouthEast in 1986 put paid to that. </s> 
wikipedia.org | <s> This created a municipality with an area of 297 km2 and a total population of 36,113 (2005). </s> 
wikipedia.org | <s> Through the Constitution, the Founders created an enduring framework of limited government based on the rule of law. </s> 
wikipedia.org | <s> The sale was completed on September 25, 2018, creating a duopoly with existing Ion Television station WIPX-TV. </s> 
wikipedia.org | <s> Their genuine excitement about what they do is evident in every frame and the sets they created are smashing. </s> 
wikipedia.org | <s> The artwork consists of 54 separate bronze pieces and was created with a budget of US$30,000. </s> 
wikipedia.org | <s> The language is theoretically regulated by the Kopapa Reo created in 2003, but this organisation is currently dormant. </s> 
wikipedia.org | <s> Later volcanic activity created more volcanic centres in the caldera, including the Barujari cone, which remains active. </s> 
wikipedia.org | <s> He went into partnership with Robert Allan Esq around 1770 creating the banking firm of Allan & Steuart. </s> 
wikipedia.org | <s> The idea was scrapped, but not before programmer Larry Hodgson had already written software to create virtual golf courses. </s> 
wikipedia.org | <s> Created in 1993 and aired in early 1994 in France, it was the first completely computer-animated TV series. </s> 
wikipedia.org | <s> Picolo is the name of a character created by Paul Buissonneau for Canadian Broadcasting Corporation (CBC). </s> 
wikipedia.org | <s> Jim Jinkins originally created Pinky Dinky Doo in 2000 as a bedtime story for his then four-year-old daughter. </s> 
wikipedia.org | <s> The cover art for No Devolución is a paper art piece created by Mia Pearlman titled "Penumbra". </s> 
wikipedia.org | <s> Dive tourism can be beneficial to coral reefs by creating funding for protection programs, including Marine Protected Areas. </s> 
wikipedia.org | <s> Wilson created and provided financial support for the Eleanor D. Wilson museum at her alma mater, Hollins University. </s> 
wikipedia.org | <s> In October 2020, the Government committed $471,100 to upgrade Rangatahi Marae, creating 15 jobs. </s> 
wikipedia.org | <s> Men at War is a series of World War II novels created by W. E. B. Griffin in 1984. </s> 
wikipedia.org | <s> Another sub-division, Egra has been created out of the erstwhile Contai sub-division during the partition of Medinipur. </s> 
wikipedia.org | <s> Denby's work to create more affordable living for the working class eventually resulted in houses that appeared cheap and unrealistic. </s> 
wikipedia.org | <s> The Group would also look at areas of overlap and duplication and aim to create synergies among the DCs. </s> 
wikipedia.org | <s> Inmates at the Ontario Reformatory were also responsible for landscaping and creating ponds along the banks of the Eramosa. </s> 
wikipedia.org | <s> He did make appearances at and create pieces for the American Dance Festival and Lee Theodore's American Dance Machine. </s> 
wikipedia.org | <s> Plasma Bomber wears a neckerchief and has a lightning bolt attached to his helmet that can create electric currents. </s> 
wikipedia.org | <s> Ancient Egypt also created irrigation systems from its local river, the Nile River, more complex than previous systems. </s> 
wikipedia.org | <s> After being showcased on Man v. Food, the restaurant created a dish called "The Adam Bomb". </s> 
wikipedia.org | <s> In 1952, he created the Youth Authority as a central point for the administration of services to delinquent children. </s> 
wikipedia.org | <s> Konop created a secure website that required visitors to log in using their names and then by creating a password. </s> 
wikipedia.org | <s> Possible uses could include painting a surface in order to decorate or protect it, or to create a design. </s> 
wikipedia.org | <s> Its lack became pressing when New Zealand was created an ecclesiastical province with Wellington as the Metropolitan See in 1887. </s> 
wikipedia.org | <s> Now Arizmendiarrieta was intent on creating a company catering to the positions required by the students graduating from the School. </s> 
wikipedia.org | <s> If a cell's mitochondria or chloroplasts are removed, the cell does not have the means to create new ones. </s> 
wikipedia.org | <s> From 1991 to 2004, he was director of the Kamakura Museum of Literature, which he had helped create . </s> 
wikipedia.org | <s> Puck lights can create scallops, spots, or pools of lighting instead of even illumination across the counter top. </s> 
wikipedia.org | <s> Wolfgang Sützl & Geoff Cox (eds.), Creating Insecurity. </s> 
wikipedia.org | <s> The chaplain appealed to the population to ask the mayor of the commune of Ditrău to resolve the created situation. </s> 
wikipedia.org | <s> The portrayal of Asians in American films and the images they created in the minds of the audience are discussed. </s> 
wikipedia.org | <s> Their work on many films as well as television series including Tom Holland's Twisted Tales have created a lifelong following. </s> 
wikipedia.org | <s> Contrasting this, the 2nd person dual or plural subjects attract the irrealis marker na to create a prohibitive clause. </s> 
wikipedia.org | <s> Wu believed the fusion of these two qualities would be the guiding principle for organic growth in creating new forms. </s> 
wikipedia.org | <s> Rumpus McFowl was created by William Van Horn and introduced as a lazy and greedy cousin of Scrooge McDuck. </s> 
wikipedia.org | <s> Today, the site also has had solar panel boards installed and new fencing, car park and walking trails created . </s> 
wikipedia.org | <s> As of April 2014, Paper has been downloaded over 10 million times and over 100 million pages have been created . </s> 
wikipedia.org | <s> The ETL Mark III began development in 1954, and was completed in 1956, created by Japan's Electrotechnical Laboratory. </s> 
wikipedia.org | <s> The marine reserve was created in 1993 and covers an area of 1,835 hectares (7.08 sq mi). </s> 
wikipedia.org | <s> Walker reads this as an indication of Heywood's desire to persuade the King to avoid creating any sort of schism. </s> 
wikipedia.org | <s> Starting in January 2002, he created the entrance facade of the MADI Museum and was named its Artistic Director. </s> 
wikipedia.org | <s> On May 1, 1930 the Nova Scotia Liquor Commission was created through legislation passed as the Liquor Control Act. </s> 
wikipedia.org | <s> NGD Systems was the first company to create in-situ processing storage and has produced two versions of the device since 2017. </s> 
wikipedia.org | <s> Consolidated Pharmacy Services and Seton Pharmacies were created to provide prescription drugs and medical equipment to St. Vincent HealthCare clients. </s> 
wikipedia.org | <s> This park was created in 2000, and was dedicated to Sam Wendland for his many years of serving as mayor. </s> 
wikipedia.org | <s> Juice Rap News is an internet based satirical news show, created in Melbourne, Australia by The Juice Media. </s> 
wikipedia.org | <s> Most commonly, three pigment images were first created separately by the so-called carbon process and then carefully combined in register. </s> 
wikipedia.org | <s> For the Message Sticks Festival in 2001, Timbery was asked to create shellworked versions of the Sydney Opera House. </s> 
wikipedia.org | <s> The user community has used this to create a number of mods for the game and even some third party utilities. </s> 
wikipedia.org | <s> The recreations involve the use of precision model-making to create three-dimensional miniature dioramas of the scene in the original photograph. </s> 
wikipedia.org | <s> This department was created when after 1966 Haryana was established as a new state within India after being separated from Punjab. </s> 
wikipedia.org | <s> As the population grew, it also created pressure on the management of sanitation, waste disposal and other health issue. </s> 
wikipedia.org | <s> Soon after he created his first own successful musical project: B-Tribe ("Barcelona Tribe of Soulsters"). </s> 
wikipedia.org | <s> He was reportedly the first to use modern advertising techniques and campaigns to create laudable careers for the pugilists he managed. </s> 
wikipedia.org | <s> The resulting outflow of reserves could create significant worldwide deflationary pressures and possibly lead to the collapse of the gold-based system. </s> 
wikipedia.org | <s> The provision qualifies for inclusion in Tier 2 capital as long it is not created against a known deterioration in value. </s> 
wikipedia.org | <s> The 140-metre-high Si Nakharin Dam was finished in 1980 and creates a 419 km2 impoundment of the Kwae Yai River. </s> 
wikipedia.org | <s> Sky Trackers is a 26-part science-based Australian children's television adventure series created by Jeff Peck and Tony Morphett in 1994. </s> 
wikipedia.org | <s> The Manchester division of 3DReid designed the building with a brief to create a green, landmark building for the city. </s> 
wikipedia.org | <s> She does not kill animals for the purpose of creating art and she is noted as a trendsetter in this arena. </s> 
wikipedia.org | <s> This creates the potential for acidic threat since hydron ions readily bond with any Lewis Structure to form an acidic bond. </s> 
wikipedia.org | <s> Created in 1956, Samuel Ayer High School was the first high school in the City of Milpitas, California. </s> 
wikipedia.org | <s> He also convinced the legislature to appropriate $15,000 to create an Oklahoma exhibit for the 1893 World's Fair. </s> 
wikipedia.org | <s> It was created in Bahia specifically for Carnival and it is now used in similar events in other districts and countries. </s> 
wikipedia.org | <s> Since the late 20th century, listed luxury apartments in the post town have been created there and at Duncroft Manor. </s> 
wikipedia.org | <s> These Indonesian organizations usually celebrate Batik Day as well in order to create awareness of Indonesia's traditional fabric to other cultures. </s> 
wikipedia.org | <s> In 1919 in Weimar the Weimarer Verfassung (Weimar Constitution) was created : the first democratic constitution of Germany. </s> 
wikipedia.org | <s> The Sixth Doctor creates a cure for the Twilight Virus, so he and Evelyn track down Cassie in 2004. </s> 
wikipedia.org | <s> They may have been created using hammer stones or grindstones from the LSA period, which have been found at Tsodilo. </s> 
wikipedia.org | <s> A circular wall encloses the two peaks of the hill, creating a double acropolis with a shallow saddle in between. </s> 
wikipedia.org | <s> Pixel craft was a small company in Long Island, NY, created by Kenneth Giordano, and Khouri Giordano. </s> 
wikipedia.org | <s> The organization was created in May 2015 when it spun off from American Bridge 21st Century, another Democratic Super PAC. </s> 
wikipedia.org | <s> The façade features an embedded bomb above the gate and a bas-relief of the founder created by the sculptor Otto Evens. </s> 
wikipedia.org | <s> The stand of Poplars, Elm and Willow, amongst others, create a well renowned display of colour over autumn. </s> 
wikipedia.org | <s> However, this disposition has created an evolutionary trap for the finches after the introduction of the MG disease in 1994. </s> 
wikipedia.org | <s> The county agreed to take over operations, and in March, 1951, the Vanderburgh County Park Board was created . </s> 
wikipedia.org | <s> She created a database of stars and galaxies which remains in use, and cataloging transient lunar phenemena (TLP). </s> 
wikipedia.org | <s> While burdened with the temporal business of creating a city, Smith also elaborated on the cosmology of the new religion. </s> 
wikipedia.org | <s> The concept behind We the Fallen created by frontman Nero Bellum was the idea of himself as a "heartworm". </s> 
wikipedia.org | <s> An early attempt by the Soviets to create a centralized government in northern Korea was the Administrative Committee of Five Provinces. </s> 
wikipedia.org | <s> With Gita Saraydarian (his daughter) Torkom helped create the TSG Foundation as the major publishing house for his works. </s> 
wikipedia.org | <s> Responsible for most of the outfitting themselves, the actors not only bring their costumes but also create their own masks. </s> 
wikipedia.org | <s> Prudence has created two collections for Balfour Hats and designed an exclusive collection for the store Le Bon Marché in Paris. </s> 
wikipedia.org | <s> In 1941 Brearley created a charitable trust The Freshgate Trust Foundation, a grantmaking charity operating in Sheffield and South Yorkshire. </s> 
wikipedia.org | <s> Creating international research partnerships The international community, its institutions and research organisations in high income countries were also given specific responsibilities. </s> 
wikipedia.org | <s> This mail order stamp dealer, created in August 2002, is owned by Toulemonde and Timbres magazine's journalist Michel Melot. </s> 
wikipedia.org | <s> Studio owner Charlie Conrad did additional engineering, and added additional instrumental solos to the original mixes to create extended dance versions. </s> 
wikipedia.org | <s> The test site and proposed project has created ongoing discussion on the Island, with residents considering potential impacts to their community. </s> 
wikipedia.org | <s> He found information about the Crown of All and with two other Others created the Final Watch to get to it. </s> 
wikipedia.org | <s> In most recent works, Borges is continuously drawn to portraying images of water and tree branches creating a meditative quality paintings. </s> 
wikipedia.org | <s> Created and written by Jim Purdy and Peter Such, the series centred on the Lowes, a family in Toronto. </s> 
wikipedia.org | <s> Originally named Low Life, the show was created and head written by Dmitry Lipkin for Maverick Films and FX Networks. </s> 
wikipedia.org | <s> They then turned their attention to creating music, spawning a string of hit singles that also generated massive sales and attention. </s> 
wikipedia.org | <s> The resulting strong electric field near the cathode accelerates ions to a sufficient velocity to create free electrons from the cathode material. </s> 
wikipedia.org | <s> It contains a fixed 5.6 aperture optic and uses selective focus to create a center of focus surrounded by gradually increasing blur. </s> 
wikipedia.org | <s> After the phase of armed resistance, P.O.W.N. had to redefine its objectives since it was originally created as a military organization. </s> 
wikipedia.org | <s> Naomi Wolf argued that the impression created by much of the media that the protestors did not have clear demands was false. </s> 
wikipedia.org | <s> Prévost created the series to help children see how history could be fascinating, basing the central characters on his own children. </s> 
wikipedia.org | <s> For example, the Safe-in-Sound Award was created to recognize organizations that can demonstrate results of successful noise control and other interventions. </s> 
wikipedia.org | <s> February 16 – Kansas State Agricultural College is established, as the first land grant college created under the 1862 Morrill Act. </s> 
wikipedia.org | <s> Comparative law wikis are wikis that allow users to create empirical cross-reference datasets for the analysis of the world's myriad legal systems. </s> 
wikipedia.org | <s> Eight former GOOD magazine editors and writers raised funds on Kickstarter to create the one-shot magazine Tomorrow before going their separate ways. </s> 
wikipedia.org | <s> B.F. Skinner created a video discussing the processes involved and the importance of reinforcement to increase the sense of "freedom". </s> 
wikipedia.org | <s> In 2018, The Planet Mikey Podcast was created and is heard on iTunes, Stitcher, Spotify and Google Play. </s> 
wikipedia.org | <s> Red Candle Games was founded in 2015 to create Detention, a psychological horror video game set in 1960s White Terror-era Taiwan. </s> 
